City,County,Year,Month,Temp
Mankato,Blue Earth,2007,4,M
Mankato,Blue Earth,2007,5,M
Mankato,Blue Earth,2007,6,M
Mankato,Blue Earth,2007,7,M
Mankato,Blue Earth,2007,8,M
Mankato,Blue Earth,2007,9,M
Mankato,Blue Earth,2007,10,M
Mankato,Blue Earth,2007,11,M
Mankato,Blue Earth,2007,12,M
Mankato,Blue Earth,2008,1,M
Mankato,Blue Earth,2008,2,M
Mankato,Blue Earth,2008,3,M
Mankato,Blue Earth,2008,4,M
Mankato,Blue Earth,2008,5,M
Mankato,Blue Earth,2008,6,M
Mankato,Blue Earth,2008,7,M
Mankato,Blue Earth,2008,8,M
Mankato,Blue Earth,2008,9,M
Mankato,Blue Earth,2008,10,M
Mankato,Blue Earth,2008,11,M
Mankato,Blue Earth,2008,12,M
Mankato,Blue Earth,2009,1,M
Mankato,Blue Earth,2009,2,M
Mankato,Blue Earth,2009,3,M
Mankato,Blue Earth,2009,4,M
Mankato,Blue Earth,2009,5,M
Mankato,Blue Earth,2009,6,M
Mankato,Blue Earth,2009,7,M
Mankato,Blue Earth,2009,8,67.7
Mankato,Blue Earth,2009,9,64.2
Mankato,Blue Earth,2009,10,42.6
Mankato,Blue Earth,2009,11,42.2
Mankato,Blue Earth,2009,12,16
Mankato,Blue Earth,2010,1,9.4
Mankato,Blue Earth,2010,2,13.9
Mankato,Blue Earth,2010,3,37.8
Mankato,Blue Earth,2010,4,54.1
Mankato,Blue Earth,2010,5,60
Mankato,Blue Earth,2010,6,68
Mankato,Blue Earth,2010,7,73.6
Mankato,Blue Earth,2010,8,74.2
Mankato,Blue Earth,2010,9,59.8
Mankato,Blue Earth,2010,10,53.2
Mankato,Blue Earth,2010,11,34
Mankato,Blue Earth,2010,12,14.9
Mankato,Blue Earth,2011,1,10
Mankato,Blue Earth,2011,2,16.9
Mankato,Blue Earth,2011,3,28.4
Mankato,Blue Earth,2011,4,45.2
Mankato,Blue Earth,2011,5,57.8
Mankato,Blue Earth,2011,6,69.2
Mankato,Blue Earth,2011,7,76.7
Mankato,Blue Earth,2011,8,70.6
Mankato,Blue Earth,2011,9,60.1
Mankato,Blue Earth,2011,10,51.2
Mankato,Blue Earth,2011,11,37.9
Mankato,Blue Earth,2011,12,27.5
Mankato,Blue Earth,2012,1,23.8
Mankato,Blue Earth,2012,2,27.3
Mankato,Blue Earth,2012,3,48.3
Mankato,Blue Earth,2012,4,50.3
Mankato,Blue Earth,2012,5,63.3
Mankato,Blue Earth,2012,6,71.2
Mankato,Blue Earth,2012,7,78.2
Mankato,Blue Earth,2012,8,70
Mankato,Blue Earth,2012,9,62.6
Mankato,Blue Earth,2012,10,46.5
Mankato,Blue Earth,2012,11,37.4
Mankato,Blue Earth,2012,12,21.7
Mankato,Blue Earth,2013,1,17.7
Mankato,Blue Earth,2013,2,17.7
Mankato,Blue Earth,2013,3,M
Mankato,Blue Earth,2013,4,M
Mankato,Blue Earth,2013,5,56.9
Mankato,Blue Earth,2013,6,67.7
Mankato,Blue Earth,2013,7,72.2
Mankato,Blue Earth,2013,8,70.4
Mankato,Blue Earth,2013,9,65.5
Mankato,Blue Earth,2013,10,48.7
Mankato,Blue Earth,2013,11,32.3
Mankato,Blue Earth,2013,12,12.6
Mankato,Blue Earth,2014,1,8.6
Mankato,Blue Earth,2014,2,8.9
Mankato,Blue Earth,2014,3,26.3
Mankato,Blue Earth,2014,4,43.5
Mankato,Blue Earth,2014,5,58
Mankato,Blue Earth,2014,6,68.9
Mankato,Blue Earth,2014,7,69.3
Mankato,Blue Earth,2014,8,71.3
Mankato,Blue Earth,2014,9,61.3
Mankato,Blue Earth,2014,10,49.2
Mankato,Blue Earth,2014,11,25.4
Mankato,Blue Earth,2014,12,24.4
Mankato,Blue Earth,2015,1,19.6
Mankato,Blue Earth,2015,2,11.7
Mankato,Blue Earth,2015,3,35.5
Mankato,Blue Earth,2015,4,49.3
Mankato,Blue Earth,2015,5,58.4
Mankato,Blue Earth,2015,6,69
Mankato,Blue Earth,2015,7,71
Mankato,Blue Earth,2015,8,68.1
Mankato,Blue Earth,2015,9,67.1
Mankato,Blue Earth,2015,10,52.2
Mankato,Blue Earth,2015,11,40.7
Mankato,Blue Earth,2015,12,29
Mankato,Blue Earth,2016,1,16.6
Mankato,Blue Earth,2016,2,24.7
Mankato,Blue Earth,2016,3,40.2
Mankato,Blue Earth,2016,4,49
Mankato,Blue Earth,2016,5,60.3
Mankato,Blue Earth,2016,6,70.5
Mankato,Blue Earth,2016,7,72.4
Mankato,Blue Earth,2016,8,70.8
Mankato,Blue Earth,2016,9,64.8
Mankato,Blue Earth,2016,10,52
Mankato,Blue Earth,2016,11,43
Mankato,Blue Earth,2016,12,19.4
Milaca,Mille Lacs,2007,1,M
Milaca,Mille Lacs,2007,2,M
Milaca,Mille Lacs,2007,3,M
Milaca,Mille Lacs,2007,4,M
Milaca,Mille Lacs,2007,5,M
Milaca,Mille Lacs,2007,6,M
Milaca,Mille Lacs,2007,7,M
Milaca,Mille Lacs,2007,8,M
Milaca,Mille Lacs,2007,9,M
Milaca,Mille Lacs,2007,10,M
Milaca,Mille Lacs,2007,11,31.6
Milaca,Mille Lacs,2007,12,M
Milaca,Mille Lacs,2008,1,M
Milaca,Mille Lacs,2008,2,9.7
Milaca,Mille Lacs,2008,3,22.9
Milaca,Mille Lacs,2008,4,38.2
Milaca,Mille Lacs,2008,5,52.3
Milaca,Mille Lacs,2008,6,63.6
Milaca,Mille Lacs,2008,7,69.3
Milaca,Mille Lacs,2008,8,67.1
Milaca,Mille Lacs,2008,9,58.8
Milaca,Mille Lacs,2008,10,46.1
Milaca,Mille Lacs,2008,11,32.4
Milaca,Mille Lacs,2008,12,8.5
Milaca,Mille Lacs,2009,1,-0.3
Milaca,Mille Lacs,2009,2,14.8
Milaca,Mille Lacs,2009,3,25.9
Milaca,Mille Lacs,2009,4,42.6
Milaca,Mille Lacs,2009,5,54.5
Milaca,Mille Lacs,2009,6,63
Milaca,Mille Lacs,2009,7,64.8
Milaca,Mille Lacs,2009,8,64.8
Milaca,Mille Lacs,2009,9,63
Milaca,Mille Lacs,2009,10,40
Milaca,Mille Lacs,2009,11,38.5
Milaca,Mille Lacs,2009,12,13.8
Milaca,Mille Lacs,2010,1,9.6
Milaca,Mille Lacs,2010,2,14.9
Milaca,Mille Lacs,2010,3,36.3
Milaca,Mille Lacs,2010,4,50.2
Milaca,Mille Lacs,2010,5,56.1
Milaca,Mille Lacs,2010,6,64.1
Milaca,Mille Lacs,2010,7,70.4
Milaca,Mille Lacs,2010,8,70.6
Milaca,Mille Lacs,2010,9,55.4
Milaca,Mille Lacs,2010,10,48.9
Milaca,Mille Lacs,2010,11,31.3
Milaca,Mille Lacs,2010,12,12.1
Milaca,Mille Lacs,2011,1,6.4
Milaca,Mille Lacs,2011,2,12.6
Milaca,Mille Lacs,2011,3,22.4
Milaca,Mille Lacs,2011,4,41.3
Milaca,Mille Lacs,2011,5,54.1
Milaca,Mille Lacs,2011,6,63.1
Milaca,Mille Lacs,2011,7,M
Milaca,Mille Lacs,2011,8,68.4
Milaca,Mille Lacs,2011,9,57.9
Milaca,Mille Lacs,2011,10,50.3
Milaca,Mille Lacs,2011,11,33.9
Milaca,Mille Lacs,2011,12,23.4
Milaca,Mille Lacs,2012,1,18.3
Milaca,Mille Lacs,2012,2,23.1
Milaca,Mille Lacs,2012,3,40.8
Milaca,Mille Lacs,2012,4,45.7
Milaca,Mille Lacs,2012,5,58.2
Milaca,Mille Lacs,2012,6,66.4
Milaca,Mille Lacs,2012,7,74.6
Milaca,Mille Lacs,2012,8,66.5
Milaca,Mille Lacs,2012,9,57.9
Milaca,Mille Lacs,2012,10,43.8
Milaca,Mille Lacs,2012,11,31.9
Milaca,Mille Lacs,2012,12,18.7
Milaca,Mille Lacs,2013,1,11.1
Milaca,Mille Lacs,2013,2,12.9
Milaca,Mille Lacs,2013,3,20.6
Milaca,Mille Lacs,2013,4,34.8
Milaca,Mille Lacs,2013,5,54.2
Milaca,Mille Lacs,2013,6,64.5
Milaca,Mille Lacs,2013,7,69.8
Milaca,Mille Lacs,2013,8,69
Milaca,Mille Lacs,2013,9,62
Milaca,Mille Lacs,2013,10,45.6
Milaca,Mille Lacs,2013,11,28.2
Milaca,Mille Lacs,2013,12,5.8
Milaca,Mille Lacs,2014,1,1.6
Milaca,Mille Lacs,2014,2,2.4
Milaca,Mille Lacs,2014,3,19.2
Milaca,Mille Lacs,2014,4,37.8
Milaca,Mille Lacs,2014,5,54.7
Milaca,Mille Lacs,2014,6,65.8
Milaca,Mille Lacs,2014,7,67
Milaca,Mille Lacs,2014,8,68.1
Milaca,Mille Lacs,2014,9,58.3
Milaca,Mille Lacs,2014,10,45.8
Milaca,Mille Lacs,2014,11,20.8
Milaca,Mille Lacs,2014,12,21.5
Milaca,Mille Lacs,2015,1,14.6
Milaca,Mille Lacs,2015,2,6.7
Milaca,Mille Lacs,2015,3,29.8
Milaca,Mille Lacs,2015,4,45.4
Milaca,Mille Lacs,2015,5,54.9
Milaca,Mille Lacs,2015,6,65.4
Milaca,Mille Lacs,2015,7,69.6
Milaca,Mille Lacs,2015,8,66.7
Milaca,Mille Lacs,2015,9,64.2
Milaca,Mille Lacs,2015,10,47.6
Milaca,Mille Lacs,2015,11,37.9
Milaca,Mille Lacs,2015,12,26.4
Milaca,Mille Lacs,2016,1,12.9
Milaca,Mille Lacs,2016,2,20.2
Milaca,Mille Lacs,2016,3,36.2
Milaca,Mille Lacs,2016,4,42.8
Milaca,Mille Lacs,2016,5,56.6
Milaca,Mille Lacs,2016,6,66.1
Milaca,Mille Lacs,2016,7,70.2
Milaca,Mille Lacs,2016,8,68.6
Milaca,Mille Lacs,2016,9,60.8
Milaca,Mille Lacs,2016,10,48.2
Milaca,Mille Lacs,2016,11,39.9
Milaca,Mille Lacs,2016,12,16.4
Montevideo,Chippewa,2007,1,19.2
Montevideo,Chippewa,2007,2,11.6
Montevideo,Chippewa,2007,3,36.3
Montevideo,Chippewa,2007,4,44.1
Montevideo,Chippewa,2007,5,61.7
Montevideo,Chippewa,2007,6,M
Montevideo,Chippewa,2007,7,71.4
Montevideo,Chippewa,2007,8,67.4
Montevideo,Chippewa,2007,9,61.8
Montevideo,Chippewa,2007,10,M
Montevideo,Chippewa,2007,11,31.8
Montevideo,Chippewa,2007,12,12.7
Montevideo,Chippewa,2008,1,8.9
Montevideo,Chippewa,2008,2,M
Montevideo,Chippewa,2008,3,24
Montevideo,Chippewa,2008,4,41.1
Montevideo,Chippewa,2008,5,M
Montevideo,Chippewa,2008,6,65.1
Montevideo,Chippewa,2008,7,70.9
Montevideo,Chippewa,2008,8,69
Montevideo,Chippewa,2008,9,60.2
Montevideo,Chippewa,2008,10,46.7
Montevideo,Chippewa,2008,11,M
Montevideo,Chippewa,2008,12,M
Montevideo,Chippewa,2009,1,M
Montevideo,Chippewa,2009,2,15.4
Montevideo,Chippewa,2009,3,27
Montevideo,Chippewa,2009,4,42.8
Montevideo,Chippewa,2009,5,56.6
Montevideo,Chippewa,2009,6,64.3
Montevideo,Chippewa,2009,7,65.8
Montevideo,Chippewa,2009,8,66.3
Montevideo,Chippewa,2009,9,63.8
Montevideo,Chippewa,2009,10,40.7
Montevideo,Chippewa,2009,11,39.2
Montevideo,Chippewa,2009,12,12.7
Montevideo,Chippewa,2010,1,7.2
Montevideo,Chippewa,2010,2,10.4
Montevideo,Chippewa,2010,3,34.1
Montevideo,Chippewa,2010,4,52.2
Montevideo,Chippewa,2010,5,57.2
Montevideo,Chippewa,2010,6,65.8
Montevideo,Chippewa,2010,7,71.3
Montevideo,Chippewa,2010,8,72.6
Montevideo,Chippewa,2010,9,58.1
Montevideo,Chippewa,2010,10,50.7
Montevideo,Chippewa,2010,11,32.5
Montevideo,Chippewa,2010,12,12
Montevideo,Chippewa,2011,1,5.9
Montevideo,Chippewa,2011,2,12.5
Montevideo,Chippewa,2011,3,22.3
Montevideo,Chippewa,2011,4,43.2
Montevideo,Chippewa,2011,5,55.2
Montevideo,Chippewa,2011,6,66.5
Montevideo,Chippewa,2011,7,76
Montevideo,Chippewa,2011,8,69.9
Montevideo,Chippewa,2011,9,59.5
Montevideo,Chippewa,2011,10,51.7
Montevideo,Chippewa,2011,11,34
Montevideo,Chippewa,2011,12,25.3
Montevideo,Chippewa,2012,1,20.7
Montevideo,Chippewa,2012,2,24
Montevideo,Chippewa,2012,3,42.6
Montevideo,Chippewa,2012,4,48.2
Montevideo,Chippewa,2012,5,61.7
Montevideo,Chippewa,2012,6,69.7
Montevideo,Chippewa,2012,7,77
Montevideo,Chippewa,2012,8,68.1
Montevideo,Chippewa,2012,9,58.9
Montevideo,Chippewa,2012,10,43.5
Montevideo,Chippewa,2012,11,33
Montevideo,Chippewa,2012,12,16.6
Montevideo,Chippewa,2013,1,13.2
Montevideo,Chippewa,2013,2,12.9
Montevideo,Chippewa,2013,3,20.5
Montevideo,Chippewa,2013,4,34.2
Montevideo,Chippewa,2013,5,54.6
Montevideo,Chippewa,2013,6,65.7
Montevideo,Chippewa,2013,7,71.3
Montevideo,Chippewa,2013,8,69.3
Montevideo,Chippewa,2013,9,63.8
Montevideo,Chippewa,2013,10,45.9
Montevideo,Chippewa,2013,11,29.3
Montevideo,Chippewa,2013,12,9.2
Montevideo,Chippewa,2014,1,7
Montevideo,Chippewa,2014,2,6.6
Montevideo,Chippewa,2014,3,23.7
Montevideo,Chippewa,2014,4,39.9
Montevideo,Chippewa,2014,5,56.2
Montevideo,Chippewa,2014,6,67.7
Montevideo,Chippewa,2014,7,68.6
Montevideo,Chippewa,2014,8,69
Montevideo,Chippewa,2014,9,60.7
Montevideo,Chippewa,2014,10,48.6
Montevideo,Chippewa,2014,11,21.8
Montevideo,Chippewa,2014,12,21.5
Montevideo,Chippewa,2015,1,17.4
Montevideo,Chippewa,2015,2,8.5
Montevideo,Chippewa,2015,3,32.5
Montevideo,Chippewa,2015,4,46.3
Montevideo,Chippewa,2015,5,56.1
Montevideo,Chippewa,2015,6,67.7
Montevideo,Chippewa,2015,7,71
Montevideo,Chippewa,2015,8,67.1
Montevideo,Chippewa,2015,9,66.2
Montevideo,Chippewa,2015,10,50.4
Montevideo,Chippewa,2015,11,39
Montevideo,Chippewa,2015,12,24.7
Montevideo,Chippewa,2016,1,14.3
Montevideo,Chippewa,2016,2,22.6
Montevideo,Chippewa,2016,3,38.3
Montevideo,Chippewa,2016,4,46.3
Montevideo,Chippewa,2016,5,58.5
Montevideo,Chippewa,2016,6,68.7
Montevideo,Chippewa,2016,7,70.5
Montevideo,Chippewa,2016,8,69.6
Montevideo,Chippewa,2016,9,62.2
Montevideo,Chippewa,2016,10,49.4
Montevideo,Chippewa,2016,11,40.7
Montevideo,Chippewa,2016,12,16.1
Mora,Kanabec,2007,1,15.2
Mora,Kanabec,2007,2,8.8
Mora,Kanabec,2007,3,31.8
Mora,Kanabec,2007,4,42.3
Mora,Kanabec,2007,5,58.9
Mora,Kanabec,2007,6,67.3
Mora,Kanabec,2007,7,70.9
Mora,Kanabec,2007,8,66.6
Mora,Kanabec,2007,9,58.9
Mora,Kanabec,2007,10,50.5
Mora,Kanabec,2007,11,31.8
Mora,Kanabec,2007,12,12.3
Mora,Kanabec,2008,1,8.9
Mora,Kanabec,2008,2,9.1
Mora,Kanabec,2008,3,23.1
Mora,Kanabec,2008,4,40.1
Mora,Kanabec,2008,5,51.8
Mora,Kanabec,2008,6,63.1
Mora,Kanabec,2008,7,70.9
Mora,Kanabec,2008,8,66.5
Mora,Kanabec,2008,9,58.8
Mora,Kanabec,2008,10,46.6
Mora,Kanabec,2008,11,32.4
Mora,Kanabec,2008,12,8.3
Mora,Kanabec,2009,1,-0.1
Mora,Kanabec,2009,2,16.1
Mora,Kanabec,2009,3,26.6
Mora,Kanabec,2009,4,42.7
Mora,Kanabec,2009,5,54.5
Mora,Kanabec,2009,6,63.3
Mora,Kanabec,2009,7,64
Mora,Kanabec,2009,8,64.2
Mora,Kanabec,2009,9,62.8
Mora,Kanabec,2009,10,40.1
Mora,Kanabec,2009,11,38.2
Mora,Kanabec,2009,12,14.1
Mora,Kanabec,2010,1,9
Mora,Kanabec,2010,2,15.5
Mora,Kanabec,2010,3,36.5
Mora,Kanabec,2010,4,50.1
Mora,Kanabec,2010,5,56.5
Mora,Kanabec,2010,6,64.3
Mora,Kanabec,2010,7,70.4
Mora,Kanabec,2010,8,70.4
Mora,Kanabec,2010,9,54.9
Mora,Kanabec,2010,10,48.7
Mora,Kanabec,2010,11,31.9
Mora,Kanabec,2010,12,12.4
Mora,Kanabec,2011,1,7
Mora,Kanabec,2011,2,14.5
Mora,Kanabec,2011,3,23.4
Mora,Kanabec,2011,4,41.7
Mora,Kanabec,2011,5,54.1
Mora,Kanabec,2011,6,62.6
Mora,Kanabec,2011,7,73.5
Mora,Kanabec,2011,8,68.3
Mora,Kanabec,2011,9,57.4
Mora,Kanabec,2011,10,50.1
Mora,Kanabec,2011,11,34.1
Mora,Kanabec,2011,12,23.8
Mora,Kanabec,2012,1,18.4
Mora,Kanabec,2012,2,24.4
Mora,Kanabec,2012,3,41.3
Mora,Kanabec,2012,4,45.7
Mora,Kanabec,2012,5,58.9
Mora,Kanabec,2012,6,66.8
Mora,Kanabec,2012,7,74.1
Mora,Kanabec,2012,8,66.6
Mora,Kanabec,2012,9,57.7
Mora,Kanabec,2012,10,43.3
Mora,Kanabec,2012,11,32.1
Mora,Kanabec,2012,12,18.7
Mora,Kanabec,2013,1,12.1
Mora,Kanabec,2013,2,13.3
Mora,Kanabec,2013,3,21.6
Mora,Kanabec,2013,4,35.4
Mora,Kanabec,2013,5,53.2
Mora,Kanabec,2013,6,63.6
Mora,Kanabec,2013,7,69.4
Mora,Kanabec,2013,8,68.6
Mora,Kanabec,2013,9,61.6
Mora,Kanabec,2013,10,45.4
Mora,Kanabec,2013,11,28.8
Mora,Kanabec,2013,12,5.7
Mora,Kanabec,2014,1,1.8
Mora,Kanabec,2014,2,2.7
Mora,Kanabec,2014,3,19.2
Mora,Kanabec,2014,4,37.8
Mora,Kanabec,2014,5,54.7
Mora,Kanabec,2014,6,65.5
Mora,Kanabec,2014,7,67.3
Mora,Kanabec,2014,8,67.7
Mora,Kanabec,2014,9,58.5
Mora,Kanabec,2014,10,45.6
Mora,Kanabec,2014,11,22.8
Mora,Kanabec,2014,12,22.4
Mora,Kanabec,2015,1,14.9
Mora,Kanabec,2015,2,6.6
Mora,Kanabec,2015,3,30
Mora,Kanabec,2015,4,45.3
Mora,Kanabec,2015,5,55.1
Mora,Kanabec,2015,6,64.8
Mora,Kanabec,2015,7,70.4
Mora,Kanabec,2015,8,66.5
Mora,Kanabec,2015,9,64.6
Mora,Kanabec,2015,10,48.2
Mora,Kanabec,2015,11,39.1
Mora,Kanabec,2015,12,27.2
Mora,Kanabec,2016,1,13.4
Mora,Kanabec,2016,2,20.2
Mora,Kanabec,2016,3,36.9
Mora,Kanabec,2016,4,43
Mora,Kanabec,2016,5,56.7
Mora,Kanabec,2016,6,66
Mora,Kanabec,2016,7,69.9
Mora,Kanabec,2016,8,69.3
Mora,Kanabec,2016,9,61.4
Mora,Kanabec,2016,10,50.2
Mora,Kanabec,2016,11,40.1
Mora,Kanabec,2016,12,17.8
Morris,Stevens,2007,1,14.9
Morris,Stevens,2007,2,6.9
Morris,Stevens,2007,3,31.2
Morris,Stevens,2007,4,41
Morris,Stevens,2007,5,60.5
Morris,Stevens,2007,6,68.8
Morris,Stevens,2007,7,71.9
Morris,Stevens,2007,8,66.8
Morris,Stevens,2007,9,60.9
Morris,Stevens,2007,10,49.4
Morris,Stevens,2007,11,30.6
Morris,Stevens,2007,12,9.7
Morris,Stevens,2008,1,5.9
Morris,Stevens,2008,2,7.9
Morris,Stevens,2008,3,22.6
Morris,Stevens,2008,4,39.4
Morris,Stevens,2008,5,53.6
Morris,Stevens,2008,6,64.3
Morris,Stevens,2008,7,70.8
Morris,Stevens,2008,8,68.2
Morris,Stevens,2008,9,59.9
Morris,Stevens,2008,10,45.6
Morris,Stevens,2008,11,31.3
Morris,Stevens,2008,12,6.9
Morris,Stevens,2009,1,0.9
Morris,Stevens,2009,2,12.2
Morris,Stevens,2009,3,24.8
Morris,Stevens,2009,4,41.4
Morris,Stevens,2009,5,55.5
Morris,Stevens,2009,6,64.5
Morris,Stevens,2009,7,66
Morris,Stevens,2009,8,65.1
Morris,Stevens,2009,9,63.1
Morris,Stevens,2009,10,39.5
Morris,Stevens,2009,11,37.9
Morris,Stevens,2009,12,11.9
Morris,Stevens,2010,1,8.9
Morris,Stevens,2010,2,9.5
Morris,Stevens,2010,3,33
Morris,Stevens,2010,4,50.9
Morris,Stevens,2010,5,56.9
Morris,Stevens,2010,6,66.2
Morris,Stevens,2010,7,71.3
Morris,Stevens,2010,8,71.2
Morris,Stevens,2010,9,56.2
Morris,Stevens,2010,10,48.8
Morris,Stevens,2010,11,30.7
Morris,Stevens,2010,12,10.5
Morris,Stevens,2011,1,4
Morris,Stevens,2011,2,10.2
Morris,Stevens,2011,3,20.2
Morris,Stevens,2011,4,41.4
Morris,Stevens,2011,5,53.7
Morris,Stevens,2011,6,65
Morris,Stevens,2011,7,74.5
Morris,Stevens,2011,8,68.5
Morris,Stevens,2011,9,58.3
Morris,Stevens,2011,10,50
Morris,Stevens,2011,11,32.6
Morris,Stevens,2011,12,24.2
Morris,Stevens,2012,1,19
Morris,Stevens,2012,2,21.6
Morris,Stevens,2012,3,40.1
Morris,Stevens,2012,4,46.4
Morris,Stevens,2012,5,59.5
Morris,Stevens,2012,6,68.2
Morris,Stevens,2012,7,75.4
Morris,Stevens,2012,8,66.9
Morris,Stevens,2012,9,58.2
Morris,Stevens,2012,10,42.9
Morris,Stevens,2012,11,31.4
Morris,Stevens,2012,12,15.8
Morris,Stevens,2013,1,11.2
Morris,Stevens,2013,2,10.4
Morris,Stevens,2013,3,16.7
Morris,Stevens,2013,4,32.4
Morris,Stevens,2013,5,54.1
Morris,Stevens,2013,6,65
Morris,Stevens,2013,7,70.7
Morris,Stevens,2013,8,68.4
Morris,Stevens,2013,9,62.9
Morris,Stevens,2013,10,45.1
Morris,Stevens,2013,11,27.7
Morris,Stevens,2013,12,6.6
Morris,Stevens,2014,1,4.3
Morris,Stevens,2014,2,3.7
Morris,Stevens,2014,3,21.9
Morris,Stevens,2014,4,38.7
Morris,Stevens,2014,5,54.7
Morris,Stevens,2014,6,66.5
Morris,Stevens,2014,7,67.6
Morris,Stevens,2014,8,68
Morris,Stevens,2014,9,59.4
Morris,Stevens,2014,10,47
Morris,Stevens,2014,11,20.6
Morris,Stevens,2014,12,20.2
Morris,Stevens,2015,1,15.6
Morris,Stevens,2015,2,6.4
Morris,Stevens,2015,3,30.7
Morris,Stevens,2015,4,45.8
Morris,Stevens,2015,5,55.6
Morris,Stevens,2015,6,67.7
Morris,Stevens,2015,7,70.6
Morris,Stevens,2015,8,67
Morris,Stevens,2015,9,65.7
Morris,Stevens,2015,10,49.4
Morris,Stevens,2015,11,37.2
Morris,Stevens,2015,12,22.3
Morris,Stevens,2016,1,12.7
Morris,Stevens,2016,2,21.3
Morris,Stevens,2016,3,37
Morris,Stevens,2016,4,43.4
Morris,Stevens,2016,5,57.7
Morris,Stevens,2016,6,67.8
Morris,Stevens,2016,7,69.6
Morris,Stevens,2016,8,69
Morris,Stevens,2016,9,61.2
Morris,Stevens,2016,10,48
Morris,Stevens,2016,11,40
Morris,Stevens,2016,12,14.9
New Ulm,Brown,2007,1,M
New Ulm,Brown,2007,2,M
New Ulm,Brown,2007,3,M
New Ulm,Brown,2007,4,M
New Ulm,Brown,2007,5,M
New Ulm,Brown,2007,6,M
New Ulm,Brown,2007,7,M
New Ulm,Brown,2007,8,M
New Ulm,Brown,2007,9,M
New Ulm,Brown,2007,10,M
New Ulm,Brown,2007,11,M
New Ulm,Brown,2007,12,M
New Ulm,Brown,2008,1,M
New Ulm,Brown,2008,2,M
New Ulm,Brown,2008,3,M
New Ulm,Brown,2008,4,M
New Ulm,Brown,2008,5,M
New Ulm,Brown,2008,6,M
New Ulm,Brown,2008,7,M
New Ulm,Brown,2008,8,M
New Ulm,Brown,2008,9,M
New Ulm,Brown,2008,10,M
New Ulm,Brown,2008,11,M
New Ulm,Brown,2008,12,M
New Ulm,Brown,2009,1,M
New Ulm,Brown,2009,2,M
New Ulm,Brown,2009,3,M
New Ulm,Brown,2009,4,M
New Ulm,Brown,2009,5,M
New Ulm,Brown,2009,6,M
New Ulm,Brown,2009,7,M
New Ulm,Brown,2009,8,M
New Ulm,Brown,2009,9,M
New Ulm,Brown,2009,10,M
New Ulm,Brown,2009,11,M
New Ulm,Brown,2009,12,M
New Ulm,Brown,2010,1,M
New Ulm,Brown,2010,2,M
New Ulm,Brown,2010,3,M
New Ulm,Brown,2010,4,M
New Ulm,Brown,2010,5,M
New Ulm,Brown,2010,6,M
New Ulm,Brown,2010,7,M
New Ulm,Brown,2010,8,M
New Ulm,Brown,2010,9,M
New Ulm,Brown,2010,10,M
New Ulm,Brown,2010,11,31.5
New Ulm,Brown,2010,12,12.7
New Ulm,Brown,2011,1,7.4
New Ulm,Brown,2011,2,13.8
New Ulm,Brown,2011,3,24.8
New Ulm,Brown,2011,4,43.3
New Ulm,Brown,2011,5,55.9
New Ulm,Brown,2011,6,66.8
New Ulm,Brown,2011,7,75.2
New Ulm,Brown,2011,8,69.1
New Ulm,Brown,2011,9,58.4
New Ulm,Brown,2011,10,51.8
New Ulm,Brown,2011,11,36
New Ulm,Brown,2011,12,24.9
New Ulm,Brown,2012,1,21.9
New Ulm,Brown,2012,2,25.1
New Ulm,Brown,2012,3,46.1
New Ulm,Brown,2012,4,48.2
New Ulm,Brown,2012,5,61.7
New Ulm,Brown,2012,6,69.1
New Ulm,Brown,2012,7,76.8
New Ulm,Brown,2012,8,68.7
New Ulm,Brown,2012,9,59.9
New Ulm,Brown,2012,10,45.1
New Ulm,Brown,2012,11,35.2
New Ulm,Brown,2012,12,19.4
New Ulm,Brown,2013,1,15.7
New Ulm,Brown,2013,2,15.5
New Ulm,Brown,2013,3,23.5
New Ulm,Brown,2013,4,36.6
New Ulm,Brown,2013,5,55.1
New Ulm,Brown,2013,6,66.3
New Ulm,Brown,2013,7,70.9
New Ulm,Brown,2013,8,69.3
New Ulm,Brown,2013,9,64.5
New Ulm,Brown,2013,10,47.6
New Ulm,Brown,2013,11,30.7
New Ulm,Brown,2013,12,11.2
New Ulm,Brown,2014,1,7.5
New Ulm,Brown,2014,2,7.1
New Ulm,Brown,2014,3,23.5
New Ulm,Brown,2014,4,42.2
New Ulm,Brown,2014,5,55.7
New Ulm,Brown,2014,6,67.5
New Ulm,Brown,2014,7,67.9
New Ulm,Brown,2014,8,69.5
New Ulm,Brown,2014,9,60
New Ulm,Brown,2014,10,48
New Ulm,Brown,2014,11,23.9
New Ulm,Brown,2014,12,22.2
New Ulm,Brown,2015,1,16.8
New Ulm,Brown,2015,2,9.8
New Ulm,Brown,2015,3,33.3
New Ulm,Brown,2015,4,47.5
New Ulm,Brown,2015,5,56.4
New Ulm,Brown,2015,6,67.2
New Ulm,Brown,2015,7,69.8
New Ulm,Brown,2015,8,67
New Ulm,Brown,2015,9,66
New Ulm,Brown,2015,10,50.1
New Ulm,Brown,2015,11,39.6
New Ulm,Brown,2015,12,27.1
New Ulm,Brown,2016,1,14.7
New Ulm,Brown,2016,2,23.3
New Ulm,Brown,2016,3,38.4
New Ulm,Brown,2016,4,47.5
New Ulm,Brown,2016,5,57.4
New Ulm,Brown,2016,6,69
New Ulm,Brown,2016,7,70.9
New Ulm,Brown,2016,8,69.8
New Ulm,Brown,2016,9,63.7
